"Palabra","Palabra.1","Palabra.2","Palabra.3","Palabra.4","Palabra.5","Palabra.6","Palabra.7","Palabra.8","Palabra.9","Palabra.10","Palabra.11","Palabra.12","Palabra.13","Palabra.14","Palabra.15","Palabra.16","Palabra.17","Palabra.18","Palabra.19","Palabra.20"
"Matemáticas","Matematicas","","","","","","","","","","","","","","","","","","",""
"Gobierno federal","Gobierno Federal","","","","","","","","","","","","","","","","","","",""
"Judíos","Judios","","","","","","","","","","","","","","","","","","",""
"Asentamientos humanos","Asentamientos Humanos","","","","","","","","","","","","","","","","","","",""
"Econometría","Econometria","","","","","","","","","","","","","","","","","","",""
"Michoacán (México)","Michoacán México","","","","","","","","","","","","","","","","","","",""
"Indios de América del Norte","Indios de America del Norte","","","","","","","","","","","","","","","","","","",""
"Abastecimiento de agua","Agua, Abastecimiento de","","","","","","","","","","","","","","","","","","",""
"Taiwán","Taiwan","","","","","","","","","","","","","","","","","","",""
"Balanza de pagos","Balanza de pagos ","","","","","","","","","","","","","","","","","","",""
"Derecho constitucional","Derecho Constitucional","","","","","","","","","","","","","","","","","","",""
"Libre comercio","Libre Comercio","","","","","","","","","","","","","","","","","","",""
"Privatización","Privatizacion","","","","","","","","","","","","","","","","","","",""
"Política comercial","Política comercial ","","","","","","","","","","","","","","","","","","",""
"Arqueología","Arqueologia","","","","","","","","","","","","","","","","","","",""
"Minorías","Minorias","","","","","","","","","","","","","","","","","","",""
"Medio ambiente","Medio Ambiente","","","","","","","","","","","","","","","","","","",""
"Arte moderno","Arte Moderno","","","","","","","","","","","","","","","","","","",""
"Cultura popular","Cultura Popular","","","","","","","","","","","","","","","","","","",""
"Irán","Iran","","","","","","","","","","","","","","","","","","",""
"Civilización moderna","Civilizacion moderna","","","","","","","","","","","","","","","","","","",""
"Contaminación","Contaminacion","","","","","","","","","","","","","","","","","","",""
"Descentralización administrativa","Descentralizacíón administrativa","","","","","","","","","","","","","","","","","","",""
"Historia moderna","Historia Moderna","","","","","","","","","","","","","","","","","","",""
"Migración rural-urbana","Migración urbana-rural","","","","","","","","","","","","","","","","","","",""
"Africa del Sur","Africa del sur","","","","","","","","","","","","","","","","","","",""
"Literatura japonesa","Literatura japonésa","","","","","","","","","","","","","","","","","","",""
"Problemas sociales","Problemas Sociales","","","","","","","","","","","","","","","","","","",""
"Seguridad internacional","Seguridad Internacional","","","","","","","","","","","","","","","","","","",""
"Mexicanos en Estados Unidos","Méxicanos en Estados Unidos","","","","","","","","","","","","","","","","","","",""
"Medios de comunicación de masas","Medios de Comunicación de Masas","","","","","","","","","","","","","","","","","","",""
"Líbano","Libano","","","","","","","","","","","","","","","","","","",""
"Geografía","Geografía.","","","","","","","","","","","","","","","","","","",""
"Cristianismo","Cristianísmo","","","","","","","","","","","","","","","","","","",""
"Capital","Capital ","","","","","","","","","","","","","","","","","","",""
"Economía matemática","Economia matemática","","","","","","","","","","","","","","","","","","",""
"Trabajadores agrícolas","Trabajadores agricolas","","","","","","","","","","","","","","","","","","",""
"Historia natural","Historia Natural","","","","","","","","","","","","","","","","","","",""
"Arabe (Idioma)","Arabe (Idioma) (Idioma)","","","","","","","","","","","","","","","","","","",""
"Telecomunicaciones","Telecomunicaciónes","","","","","","","","","","","","","","","","","","",""
"Oaxaca","Oaxaca (Oaxaca)","","","","","","","","","","","","","","","","","","",""
"Salud reproductiva","Salud Reproductiva","","","","","","","","","","","","","","","","","","",""
"Bancos centrales","bancos centrales","","","","","","","","","","","","","","","","","","",""
"Turquía","Turquia","","","","","","","","","","","","","","","","","","",""
"Sociología urbana","Sociologia urbana","","","","","","","","","","","","","","","","","","",""
"Mujeres en la literatura","Mujeres en la literatura.","","","","","","","","","","","","","","","","","","",""
"Migración de trabajadores","Migracion de trabajadores","","","","","","","","","","","","","","","","","","",""
"Estabilización económica","estabilización económica","","","","","","","","","","","","","","","","","","",""
"Iglesia católica en México","Iglesia Católica en México","","","","","","","","","","","","","","","","","","",""
"Presupuesto","presupuesto","","","","","","","","","","","","","","","","","","",""
"Democratización","Democratizacíón","","","","","","","","","","","","","","","","","","",""
"Empresas públicas","Empresas publicas","","","","","","","","","","","","","","","","","","",""
"Guerra","Guerra -","","","","","","","","","","","","","","","","","","",""
"Productos agrícolas","Productos agricolas","","","","","","","","","","","","","","","","","","",""
"Novela hispanoamericana","Novela hispanoaméricana","","","","","","","","","","","","","","","","","","",""
"Latín","Latin","","","","","","","","","","","","","","","","","","",""
"Iglesia católica en Hispanoamérica","Iglesia Católica en Hispanoamérica","","","","","","","","","","","","","","","","","","",""
"Filosofía moderna","Filosofia moderna","","","","","","","","","","","","","","","","","","",""
"Crítica","Crítica.","","","","","","","","","","","","","","","","","","",""
"Psicología","Psicologia","","","","","","","","","","","","","","","","","","",""
"Exportación e importación","Exportacion e importación","","","","","","","","","","","","","","","","","","",""
"Crédito","Credito","","","","","","","","","","","","","","","","","","",""
"Semiótica","Semiotica","","","","","","","","","","","","","","","","","","",""
"Ciudadanía","Ciudadania","","","","","","","","","","","","","","","","","","",""
"Municipios","Municípios","","","","","","","","","","","","","","","","","","",""
"Educación de adultos","Educacíón de adultos","","","","","","","","","","","","","","","","","","",""
"Pakistán","Pakistan","","","","","","","","","","","","","","","","","","",""
"Integración económica internacional","integración económica internacional","","","","","","","","","","","","","","","","","","",""
"Materialismo dialéctico","Materialismo dialectico","","","","","","","","","","","","","","","","","","",""
"Armas atómicas y desarme","Armás atómicas y desarme","","","","","","","","","","","","","","","","","","",""
"Jesuitas","Jesuítas","","","","","","","","","","","","","","","","","","",""
"Localización industrial","Localizacion industrial","","","","","","","","","","","","","","","","","","",""
"Autores mexicanos","Autores Mexicanos","","","","","","","","","","","","","","","","","","",""
"Películas cinematográficas","Peliculas cinematográficas","","","","","","","","","","","","","","","","","","",""
"Derecho internacional público","Derecho público internacional","","","","","","","","","","","","","","","","","","",""
"Crisis financieras","Crísis financieras","","","","","","","","","","","","","","","","","","",""
"Azúcar","Azucar","","","","","","","","","","","","","","","","","","",""
"Políticos","Politicos","","","","","","","","","","","","","","","","","","",""
"Guerra Mundial, 1914-1918","Guerra mundial, 1914-1918","","","","","","","","","","","","","","","","","","",""
"Historia constitucional","Historia Constitucional","","","","","","","","","","","","","","","","","","",""
"Indios de Chiapas","Indios de chiapas","","","","","","","","","","","","","","","","","","",""
"Libre-cambio y protección","Libre cambio y protección","","","","","","","","","","","","","","","","","","",""
"Narcotráfico","Narcotrafico","","","","","","","","","","","","","","","","","","",""
"Literatura alemana","Literatura Alemana","","","","","","","","","","","","","","","","","","",""
"Unión Europea","Unión europea","","","","","","","","","","","","","","","","","","",""
"Autores españoles","Autores, españoles","","","","","","","","","","","","","","","","","","",""
"Uso de la tierra","Tierra, Uso de la","","","","","","","","","","","","","","","","","","",""
"Ideología","Ideologia","","","","","","","","","","","","","","","","","","",""
"Energía nuclear","Energía nuclear.","","","","","","","","","","","","","","","","","","",""
"Derecho marítimo","Derecho maritimo","","","","","","","","","","","","","","","","","","",""
"Baja California","California, Baja","","","","","","","","","","","","","","","","","","",""
"Historia de la iglesia","Historia de la Iglesia","","","","","","","","","","","","","","","","","","",""
"Geopolítica","Geopolitica","","","","","","","","","","","","","","","","","","",""
"Edad Media","Edad media","","","","","","","","","","","","","","","","","","",""
"Decisiones","Decisiónes","","","","","","","","","","","","","","","","","","",""
"Religión y sociología","Religion y sociología","","","","","","","","","","","","","","","","","","",""
"Humanismo","Humanismo.","","","","","","","","","","","","","","","","","","",""
"Afro-americanos","Afro-Americanos","","","","","","","","","","","","","","","","","","",""
"Renacimiento","renacimiento","","","","","","","","","","","","","","","","","","",""
"Crítica literaria","Critica literaria","","","","","","","","","","","","","","","","","","",""
"Juegos, Teoría de los","Juegos, Teoria de los","","","","","","","","","","","","","","","","","","",""
"Civilización medieval","Civilización Medieval","","","","","","","","","","","","","","","","","","",""
"Australia","Australía","","","","","","","","","","","","","","","","","","",""
"Ciencia y estado","Ciencia y Estado","","","","","","","","","","","","","","","","","","",""
"Cristianismo y política","Cristianismo y política ","","","","","","","","","","","","","","","","","","",""
"Artistas","Artístas","","","","","","","","","","","","","","","","","","",""
"Sociología política","Sociologia politica","","","","","","","","","","","","","","","","","","",""
"Estadística matemática","Estadística matématica","","","","","","","","","","","","","","","","","","",""
"Tratados comerciales","Tratados Comerciales","","","","","","","","","","","","","","","","","","",""
"Iraq","Iráq","","","","","","","","","","","","","","","","","","",""
"Información, Ciencia de la","Ciencia de la información","","","","","","","","","","","","","","","","","","",""
"Nutrición","Nutricíon","","","","","","","","","","","","","","","","","","",""
"Hinduismo","Hinduísmo","","","","","","","","","","","","","","","","","","",""
"Botánica","Botanica","","","","","","","","","","","","","","","","","","",""
"Huelgas y paros","Paros y huelgas","","","","","","","","","","","","","","","","","","",""
"Haciendas agrícolas","Haciendas agricolas","","","","","","","","","","","","","","","","","","",""
"Discriminación racial","Discriminacion racial","","","","","","","","","","","","","","","","","","",""
"Organización industrial","Organizacion industrial","","","","","","","","","","","","","","","","","","",""
"Refugiados políticos","Refugiados politicos","","","","","","","","","","","","","","","","","","",""
"Identidad de género","Identidad de Género","","","","","","","","","","","","","","","","","","",""
"Hungría","Hungria","","","","","","","","","","","","","","","","","","",""
"Filosofía alemana","Filosofia alemana","","","","","","","","","","","","","","","","","","",""
"Alemania (República Federal, 1949-1990)","Alemania (República Federal, 1949-1990","","","","","","","","","","","","","","","","","","",""
"Control de drogas y narcóticos","Control de drogas y nárcoticos","","","","","","","","","","","","","","","","","","",""
"Budismo Zen","Budismo zen","","","","","","","","","","","","","","","","","","",""
"Educación rural","Educación rural-","","","","","","","","","","","","","","","","","","",""
"Guanajuato","Guanajuato, Guanajuato","","","","","","","","","","","","","","","","","","",""
"Jamaica","jamaica","","","","","","","","","","","","","","","","","","",""
"Arancel de aduana","Arancel de Aduana","","","","","","","","","","","","","","","","","","",""
"Malasia","Malasía","","","","","","","","","","","","","","","","","","",""
"Frontera mexicano-americana (Región)","Frontera mexicano-américana (Región)","","","","","","","","","","","","","","","","","","",""
"Romanticismo","Romantícismo","","","","","","","","","","","","","","","","","","",""
"Probabilidades","Probabilidades ","","","","","","","","","","","","","","","","","","",""
"Riego agrícola","Riego agrícola agrícola","","","","","","","","","","","","","","","","","","",""
"Religiones","Religiónes","","","","","","","","","","","","","","","","","","",""
"Relaciones judío-árabes","Relaciones judio-árabes","","","","","","","","","","","","","","","","","","",""
"MERCOSUR (Organización)","Mercosur (Organización)","","","","","","","","","","","","","","","","","","",""
"Envejecimiento","Envejecimiento ","","","","","","","","","","","","","","","","","","",""
"Aculturación","Aculturacion","","","","","","","","","","","","","","","","","","",""
"Liderazgo","Líderazgo","","","","","","","","","","","","","","","","","","",""
"Interacción social","Interaccion social","","","","","","","","","","","","","","","","","","",""
"Economía keynesiana","Economía Keynesiana","","","","","","","","","","","","","","","","","","",""
"Mitología","Mitologia","","","","","","","","","","","","","","","","","","",""
"Maíz","Maiz","","","","","","","","","","","","","","","","","","",""
"Africa del Norte","Africa del norte","","","","","","","","","","","","","","","","","","",""
"Organización del Tratado del Atlántico Norte","Organizacion del Tratado del Atlántico Norte","","","","","","","","","","","","","","","","","","",""
"Sociología rural","Sociologia rural","","","","","","","","","","","","","","","","","","",""
"Historia antigua","Historia antigüa","","","","","","","","","","","","","","","","","","",""
"Patrimonio cultural","Patrimônio cultural","","","","","","","","","","","","","","","","","","",""
"Justicia social","Justicia Social","","","","","","","","","","","","","","","","","","",""
"Política de vivienda","Politica de vivienda","","","","","","","","","","","","","","","","","","",""
"Estadistas","Estadístas","","","","","","","","","","","","","","","","","","",""
"Utopías","Utopias","","","","","","","","","","","","","","","","","","",""
"Monopolios","Monopolíos","","","","","","","","","","","","","","","","","","",""
"Fotografía","Fotografia","","","","","","","","","","","","","","","","","","",""
"Competencia económica","Competencía económica","","","","","","","","","","","","","","","","","","",""
"Enciclopedias y diccionarios","Enciclopedias y diccionarios.","","","","","","","","","","","","","","","","","","",""
"Política cultural","Politica cultural","","","","","","","","","","","","","","","","","","",""
"Población económicamente activa","Población economicamente activa","","","","","","","","","","","","","","","","","","",""
"Guevara, Ernesto","Guevara, Ernesto,","","","","","","","","","","","","","","","","","","",""
"Cuentos mexicanos","Cuentos mexicanos.","","","","","","","","","","","","","","","","","","",""
"Querétaro","Queretaro","","","","","","","","","","","","","","","","","","",""
"Agencias administrativas","Agencias Administrativas","","","","","","","","","","","","","","","","","","",""
"Rusia (Federación)","Rusia (Federacion)","","","","","","","","","","","","","","","","","","",""
"Documentación","Documentación.","","","","","","","","","","","","","","","","","","",""
"Civilización occidental","Civilización Occidental","","","","","","","","","","","","","","","","","","",""
"Medicina tradicional","medicina tradicional","","","","","","","","","","","","","","","","","","",""
"Física","Fisica","","","","","","","","","","","","","","","","","","",""
"Comunicación y tráfico","Comunicacion y tráfico","","","","","","","","","","","","","","","","","","",""
"Arabes","Árabes","","","","","","","","","","","","","","","","","","",""
"Shakespeare, William","Shakespeare, William,","","","","","","","","","","","","","","","","","","",""
"Judaísmo","Judaismo","","","","","","","","","","","","","","","","","","",""
"Científicos","Cientificos","","","","","","","","","","","","","","","","","","",""
"Política y literatura","Politica y literatura","","","","","","","","","","","","","","","","","","",""
"Poder ejecutivo","Poder Ejecutivo","","","","","","","","","","","","","","","","","","",""
"Paz, Octavio","Paz, Octavio,","","","","","","","","","","","","","","","","","","",""
"Educación pública","Educación publica","","","","","","","","","","","","","","","","","","",""
"Antropología filosófica","Antropología Filosófica","","","","","","","","","","","","","","","","","","",""
"Ilustración","ilustracion","","","","","","","","","","","","","","","","","","",""
"Propiedad intelectual","propiedad intelectual","","","","","","","","","","","","","","","","","","",""
"Castro, Fidel","Fidel Castro","","","","","","","","","","","","","","","","","","",""
"Guadalupe, Nuestra Señora de","Guadalupe, Nuestra señora de","","","","","","","","","","","","","","","","","","",""
"Freud, Sigmund","Sigmund, Freud","","","","","","","","","","","","","","","","","","",""
"Arte indígena","Arte índigena","","","","","","","","","","","","","","","","","","",""
"Guerra de Vietnam, 1961-1975","Vietnam, Guerra de, 1961-1975","","","","","","","","","","","","","","","","","","",""
"Empresas","Empresas.","","","","","","","","","","","","","","","","","","",""
"Cortázar, Julio","Cortazar, Julio","","","","","","","","","","","","","","","","","","",""
"Semántica (Filosofía)","Semantica (Filosofía)","","","","","","","","","","","","","","","","","","",""
"Novela japonesa","Novela Japonesa","","","","","","","","","","","","","","","","","","",""
"Muerte","Muerte.","","","","","","","","","","","","","","","","","","",""
"Literatura infantil","literatura infantil","","","","","","","","","","","","","","","","","","",""
"Astronomía","Astronomia","","","","","","","","","","","","","","","","","","",""
"Indios de Guatemala","Indios de guatemala","","","","","","","","","","","","","","","","","","",""
"Castas","Castas ","","","","","","","","","","","","","","","","","","",""
"Cambio organizacional","Cambio Organizacional","","","","","","","","","","","","","","","","","","",""
"Calidad de vida","Vida, Calidad de","","","","","","","","","","","","","","","","","","",""
"Integración económica europea","Integración Económica Europea","","","","","","","","","","","","","","","","","","",""
"Procedimiento civil","Procedimiento Civil","","","","","","","","","","","","","","","","","","",""
"Colima","Colima)","","","","","","","","","","","","","","","","","","",""
"Organización internacional","Organización Internacional","","","","","","","","","","","","","","","","","","",""
"Novela americana","Novela Americana","","","","","","","","","","","","","","","","","","",""
"Gastos públicos","Gastos publicos","","","","","","","","","","","","","","","","","","",""
"Ciencias de la información","Ciencias de la informacion","","","","","","","","","","","","","","","","","","",""
"San Luis Potosí","San Luis Potosí (San Luis Potosí)","","","","","","","","","","","","","","","","","","",""
"Etica cristiana","Ética cristiana","","","","","","","","","","","","","","","","","","",""
"Crisis económica","Crísis económica","","","","","","","","","","","","","","","","","","",""
"Areas metropolitanas","Areas Metropolitanas","","","","","","","","","","","","","","","","","","",""
"Filosofía española","Filosofia española","","","","","","","","","","","","","","","","","","",""
"Belice","Bélice","","","","","","","","","","","","","","","","","","",""
"Pueblos indígenas","Pueblos indigenas","","","","","","","","","","","","","","","","","","",""
"Industria eléctrica","Industría eléctrica","","","","","","","","","","","","","","","","","","",""
"Indios de Brasil","Indios de brasil","","","","","","","","","","","","","","","","","","",""
"Atención médica","Atencion médica","","","","","","","","","","","","","","","","","","",""
"Vega, Lope de","Vega, Lope de,","","","","","","","","","","","","","","","","","","",""
"Soberanía","Soberania","","","","","","","","","","","","","","","","","","",""
"Movimientos de capital","Movimientos de Capital","","","","","","","","","","","","","","","","","","",""
"Consumo (Economía)","Consumo (economía)","","","","","","","","","","","","","","","","","","",""
"Arquitectura moderna","Arquitectura Moderna","","","","","","","","","","","","","","","","","","",""
"Monarquía","Monarquia","","","","","","","","","","","","","","","","","","",""
"Sociedad de la información","Sociedad de la Información","","","","","","","","","","","","","","","","","","",""
"Arabia Saudita","Arabia Saudíta","","","","","","","","","","","","","","","","","","",""
"Economistas","Económistas","","","","","","","","","","","","","","","","","","",""
"Zapata, Emiliano","Zapata, Emiliano,","","","","","","","","","","","","","","","","","","",""
"Hegel, Georg Wilhelm Friedrich","Hegel, Georg Wilhelm Friedrich,","","","","","","","","","","","","","","","","","","",""
"Artesanías","Artesanias","","","","","","","","","","","","","","","","","","",""
"Henequén","Henequen","","","","","","","","","","","","","","","","","","",""
"Gandhi","Gandhi,","","","","","","","","","","","","","","","","","","",""
"Indios de Colombia","Indios de Colombia ","","","","","","","","","","","","","","","","","","",""
"Comunidades Europeas","Comunidades europeas","","","","","","","","","","","","","","","","","","",""
"Campaña política, 1987-1988, Partido Revolucionario Institucional, México","Campaña política 1987-1988, Partido Revolucionario Institucional, México","","","","","","","","","","","","","","","","","","",""
"Simbolismo","Símbolismo","","","","","","","","","","","","","","","","","","",""
"Innovaciones agrícolas","Innovaciones agricolas","","","","","","","","","","","","","","","","","","",""
"Aristóteles","Aristoteles","","","","","","","","","","","","","","","","","","",""
"Sociología industrial","Sociologia industrial","","","","","","","","","","","","","","","","","","",""
"Poder legislativo","Poder Legislativo","","","","","","","","","","","","","","","","","","",""
"Contracepción","Contracepcion","","","","","","","","","","","","","","","","","","",""
"Poder judicial","Poder Judicial","","","","","","","","","","","","","","","","","","",""
"Pobreza urbana","Pobreza Urbana","","","","","","","","","","","","","","","","","","",""
"Africa Occidental","Africa occidental","","","","","","","","","","","","","","","","","","",""
"Yucatán (México : Estado)","Yucatán (Estado, México)","","","","","","","","","","","","","","","","","","",""
"Préstamos internacionales","Prestamos internacionales","","","","","","","","","","","","","","","","","","",""
"Platón","Platon","","","","","","","","","","","","","","","","","","",""
"Jefes de estado","Jefes de Estado","","","","","","","","","","","","","","","","","","",""
"Planificación estratégica","Planificación estrategica","","","","","","","","","","","","","","","","","","",""
"Etiopía","Etiopia","","","","","","","","","","","","","","","","","","",""
"Psicología del aprendizaje","Aprendizaje, Psicología del","","","","","","","","","","","","","","","","","","",""
"Neruda, Pablo","Neruda Pablo","","","","","","","","","","","","","","","","","","",""
"Imperio islámico","Imperio Islámico","","","","","","","","","","","","","","","","","","",""
"Cosmología","Cosmologia","","","","","","","","","","","","","","","","","","",""
"Asistencia médica","Asistencia Medica","","","","","","","","","","","","","","","","","","",""
"Quevedo, Francisco de","Quevedo, Francisco de,","","","","","","","","","","","","","","","","","","",""
"California, Estados Unidos","California (Estados Unidos)","","","","","","","","","","","","","","","","","","",""
"Protestantismo","protestantismo","","","","","","","","","","","","","","","","","","",""
"Europa Central","Europa central","","","","","","","","","","","","","","","","","","",""
"Checoslovaquia","Checoslovaquía","","","","","","","","","","","","","","","","","","",""
"Estrategia","Estrategía","","","","","","","","","","","","","","","","","","",""
"Producto nacional bruto","Producto Nacional Bruto","","","","","","","","","","","","","","","","","","",""
"Cocina mexicana","Cocina Mexicana","","","","","","","","","","","","","","","","","","",""
"Prensa y política","Política y prensa","","","","","","","","","","","","","","","","","","",""
"Mercadotecnia","Mercadotécnia","","","","","","","","","","","","","","","","","","",""
"Investigación industrial","Investigación Industrial","","","","","","","","","","","","","","","","","","",""
"Alcoholismo","Alcohólismo","","","","","","","","","","","","","","","","","","",""
"Ingeniería","Ingenieria","","","","","","","","","","","","","","","","","","",""
"Tarascos (Indios)","Tarascos (indios)","","","","","","","","","","","","","","","","","","",""
"Brujería","Brujeria","","","","","","","","","","","","","","","","","","",""
"Productividad","productividad","","","","","","","","","","","","","","","","","","",""
"Kant, Immanuel","Kant, Immanuel,","","","","","","","","","","","","","","","","","","",""
"Indios de América","Indios de américa","","","","","","","","","","","","","","","","","","",""
"Equilibrio (Economía)","Equilibrio (Económia)","","","","","","","","","","","","","","","","","","",""
"Zapotecas (Indios)","Zapotecas (Indios","","","","","","","","","","","","","","","","","","",""
"Radiodifusión","Radiodifusion","","","","","","","","","","","","","","","","","","",""
"Pragmática","Pragmatica","","","","","","","","","","","","","","","","","","",""
"Picasso, Pablo","Picasso, Pablo,","","","","","","","","","","","","","","","","","","",""
"Organización de Estados Americanos","Organización de Estados Américanos","","","","","","","","","","","","","","","","","","",""
"Discriminación","Discriminacíon","","","","","","","","","","","","","","","","","","",""
"Asia Central","Asia central","","","","","","","","","","","","","","","","","","",""
"Partido Acción Nacional, México","Partido Acción Nacional (México)","","","","","","","","","","","","","","","","","","",""
"Arbitraje internacional","Arbitraje Internacional","","","","","","","","","","","","","","","","","","",""
"Inversiones públicas","Inversiónes públicas","","","","","","","","","","","","","","","","","","",""
"Iglesia católica en Brasil","Iglesia Católica en Brasil","","","","","","","","","","","","","","","","","","",""
"Derecho romano","Derecho Romano","","","","","","","","","","","","","","","","","","",""
"Cuerpo humano","Cuerpo Humano","","","","","","","","","","","","","","","","","","",""
"Países islámicos","Paises islámicos","","","","","","","","","","","","","","","","","","",""
"Mercado, Investigación del","Mercado, investigación del","","","","","","","","","","","","","","","","","","",""
"Hispanoamericanos","Hispanoaméricanos","","","","","","","","","","","","","","","","","","",""
"Constituciones","Constituciones.","","","","","","","","","","","","","","","","","","",""
"Psiquiatría","Psiquiatria","","","","","","","","","","","","","","","","","","",""
"Filosofía mexicana","FIlosofía mexicana","","","","","","","","","","","","","","","","","","",""
"Senegal","Sénégal","","","","","","","","","","","","","","","","","","",""
"Oriente y Occidente","Oriente y occidente","","","","","","","","","","","","","","","","","","",""
"Análisis de regresión","Regresión, Análisis de","","","","","","","","","","","","","","","","","","",""
"Internet","internet","","","","","","","","","","","","","","","","","","",""
"Filosofía marxista","Filosofía Marxista","","","","","","","","","","","","","","","","","","",""
"Existencialismo","Existencialismo.","","","","","","","","","","","","","","","","","","",""
"Política familiar","Politica familiar","","","","","","","","","","","","","","","","","","",""
"Campaña política, 1981-1982, Partido Revolucionario Institucional, México","Campaña política 1981-1982, Partido Revolucionario Institucional, México","","","","","","","","","","","","","","","","","","",""
"Teología de la liberación","Teologia de la liberación","","","","","","","","","","","","","","","","","","",""
"Ortega y Gasset, José","Ortega y Gasset, Jose","","","","","","","","","","","","","","","","","","",""
"Servicio de inteligencia","Servicio de Inteligencia","","","","","","","","","","","","","","","","","","",""
"Bienes raíces","Bienes raices","","","","","","","","","","","","","","","","","","",""
"Relaciones fiscales intergubernamentales","Relaciones intergubernamentales fiscales","","","","","","","","","","","","","","","","","","",""
"Recursos marinos","Recursos Marinos","","","","","","","","","","","","","","","","","","",""
"Mujeres en la agricultura","Mujeres en la agrícultura","","","","","","","","","","","","","","","","","","",""
"Florida (Estados Unidos)","Florida, Estados Unidos","","","","","","","","","","","","","","","","","","",""
"Sánscrito","Sanscrito","","","","","","","","","","","","","","","","","","",""
"Siglo XXI","Siglo XXI.","","","","","","","","","","","","","","","","","","",""
"Participación ciudadana","Participación Ciudadana","","","","","","","","","","","","","","","","","","",""
"Funcionarios y empleados públicos","Funcionarios públicos y empleados","","","","","","","","","","","","","","","","","","",""
"Taoismo","Taoísmo","","","","","","","","","","","","","","","","","","",""
"Sociedad de las Naciones","Sociedad de las naciones","","","","","","","","","","","","","","","","","","",""
"Novela inglesa","Novela Inglesa","","","","","","","","","","","","","","","","","","",""
"Madero, Francisco I","Madero, Francisco I.","","","","","","","","","","","","","","","","","","",""
"Cuentos japoneses","Cuentos japonesés","","","","","","","","","","","","","","","","","","",""
"Muestreo (Estadística)","Estadística (Muestreo)","","","","","","","","","","","","","","","","","","",""
"Mexicanoamericanos","Méxicanoamericanos","","","","","","","","","","","","","","","","","","",""
"Tesauros (Thesauri)","Tesauros (thesauri)","","","","","","","","","","","","","","","","","","",""
"Siglo XX","Siglo XX.","","","","","","","","","","","","","","","","","","",""
"Religión y ciencia","Religion y ciencia","","","","","","","","","","","","","","","","","","",""
"Otomíes (Indios)","Otomies (Indios)","","","","","","","","","","","","","","","","","","",""
"Libertad de expresión","LIbertad de expresión","","","","","","","","","","","","","","","","","","",""
"Construcción, Industria de la","Industria de la construcción","","","","","","","","","","","","","","","","","","",""
"Panamá, Canal","Panama, Canal","","","","","","","","","","","","","","","","","","",""
"Organización industrial (Teoría económica)","Organización industrial (Teoría económica )","","","","","","","","","","","","","","","","","","",""
"Modelos econométricos","Modelos económetricos","","","","","","","","","","","","","","","","","","",""
"Literatura griega","Literatura Griega","","","","","","","","","","","","","","","","","","",""
"Sudán","Sudan","","","","","","","","","","","","","","","","","","",""
"Poesía cubana","Poesia cubana","","","","","","","","","","","","","","","","","","",""
"Memoria","Memoría","","","","","","","","","","","","","","","","","","",""
"Keynes, John Maynard","Keynes, John Maynard,","","","","","","","","","","","","","","","","","","",""
"Jesuitas en México","Jesuítas en México","","","","","","","","","","","","","","","","","","",""
"Autores estadounidenses","autores estadounidenses","","","","","","","","","","","","","","","","","","",""
"París","Paris","","","","","","","","","","","","","","","","","","",""
"Filosofía medieval","Filosofia medieval","","","","","","","","","","","","","","","","","","",""
"Mariátegui, José Carlos","Mariátegui, Jose Carlos","","","","","","","","","","","","","","","","","","",""
"Teoría de la información","Información, Teoría de la","","","","","","","","","","","","","","","","","","",""
"Teatro hispanoamericano","Teatro Hispanoamericano","","","","","","","","","","","","","","","","","","",""
"Mujeres en Estados Unidos","Mujeres en Estados Unidos.","","","","","","","","","","","","","","","","","","",""
"Regulación de comercio exterior","Regulacion de comercio exterior","","","","","","","","","","","","","","","","","","",""
"Industrias electrónicas","Industrias electronicas","","","","","","","","","","","","","","","","","","",""
"Comunismo y religión","Comunismo y religion","","","","","","","","","","","","","","","","","","",""
"Mujeres indígenas","Mujeres indigenas","","","","","","","","","","","","","","","","","","",""
"Guanajuato (México : Estado)","Guanajuato (Estado, México)","","","","","","","","","","","","","","","","","","",""
"Crimen organizado","Crímen organizado","","","","","","","","","","","","","","","","","","",""
"Filosofía francesa","Filosofía Francesa","","","","","","","","","","","","","","","","","","",""
"Engels, Friedrich","Engels Friedrich","","","","","","","","","","","","","","","","","","",""
"Arte barroco","Arte Barroco","","","","","","","","","","","","","","","","","","",""
"World Wide Web (Servicio de internet)","World Wide Web (Servicio de Internet)","","","","","","","","","","","","","","","","","","",""
"UNIX (Sistema operativo de computadoras)","Unix (Sistema operativo de computadoras)","","","","","","","","","","","","","","","","","","",""
"Lenguaje","Lenguaje.","","","","","","","","","","","","","","","","","","",""
"Derecho islámico","Derecho islamico","","","","","","","","","","","","","","","","","","",""
"Arte budista","Arte Budista","","","","","","","","","","","","","","","","","","",""
"Nuevo México, Estados Unidos","Nuevo México (Estados Unidos)","","","","","","","","","","","","","","","","","","",""
"Formación profesional de maestros","Formacion profesional de maestros","","","","","","","","","","","","","","","","","","",""
"Oceanía","Oceania","","","","","","","","","","","","","","","","","","",""
"Filosofía árabe","Filosofía árabe ","","","","","","","","","","","","","","","","","","",""
"Yaquis (Indios)","Yaquis (indios)","","","","","","","","","","","","","","","","","","",""
"Salinas de Gortari, Carlos","Salinas de Gortarí, Carlos","","","","","","","","","","","","","","","","","","",""
"Préstamos bancarios","Prestámos bancarios","","","","","","","","","","","","","","","","","","",""
