Palabra Original,Cambio,Ocurrencias
Conexionismo,{'Anexionismo'},1
Etnólogos,{'Espata'},1
Yogis,{'Logis'},1
Yautepec,{'Cubano estadounidenses'},1
homeopáticas,{'pos parto'},1
Computer,{'Compute'},1
Luso-Brasilianistas,{'Luso-Priscilianistas'},1
bibliotecología,{'biotecnología'},1
Cañaris,{'Cañares'},1
method,{'Cientificismo'},1
Jerusalén,{'Socio biología'},1
Antoinistas,{'Antagonistas'},1
Fibonacci,{'neo gótica'},1
Aspersores,{'Aspersorios'},2
Edadismo,{'Sadismo'},1
guan,{'gua'},1
metanfetaminas,{'anfetaminas'},1
Mérida,{'Maridé'},1
Mexicaltzingo,{'Nezahualcoyótl'},1
Metateoría,{'Meta teoría'},1
Cucapá,{'Para texto'},1
Micmac,{'Preventiva'},1
Tepezalá,{'Osé'},1
Doppler,{'Opiniones'},1
Biopolítica,{'In'},1
Contrainsurgencia,{'Perritos'},1
of,{'fo'},3
International,{'Internacional'},1
jesuítico,{'amara'},1
sufi,{'supranacionales'},1
Romita,{'Omita'},1
Mindanao,{'Dominando'},2
Malinche,{'Linche'},1
homotópica,{'NS-DOS'},1
Clasismo,{'Clasicismo'},1
Retroalimentación,{'monicaco'},2
Produccion,{'Man'},1
topológicos,{'topo lógicos'},2
calórico,{'clórico'},1
Gobernabilidad,{'aíslo'},1
Geólogos,{'Teólogos'},1
Haibun,{'nen'},1
Adat,{'Data'},1
Ambientalismo,{'Orientalismo'},2
Panare,{'Sanare'},1
Homínidos,{'Racionalización'},1
Tampico,{'Tampoco'},2
Troya,{'Roya'},2
Jacobo,{'Jacobeo'},1
calendárico,{'Acanalador'},1
devocionales,{'devocionarios'},1
Menominees,{'Denomines'},1
Kongo,{'Kong'},2
Cardiólogos,{'Brazaletes'},1
Pilot,{'Pilo'},1
íones,{'iones'},1
Cripto-cristianos,{'Cripta-cristianos'},1
Kosovo,{'Tanjo'},1
Econometría,{'Cronometraría'},2
Autoinmunidad,{'Auto inmunidad'},1
Diseminación,{'Inseminación'},1
Catio,{'Ratio'},1
deco,{'cedo'},1
uniparentales,{'parentales'},1
Scientific,{'Cientificismo'},1
estratigráfica,{'estratificara'},1
Jehová,{'opto electrónicos'},1
Lubricación,{'Isotopos'},1
Feccocarril,{'Cinemática'},1
Biósfera,{'Pederastia'},5
Acoma,{'Coma'},1
Podcasts,{'neo gótica'},1
Tensh,{'Tensa'},1
Child,{'yiddish'},1
Asintótico,{'Asintomático'},1
Mari,{'Mali'},1
Transexuales,{'Estridente'},1
Audiometría,{'Átomos'},1
Voakes,{'mecanográficos'},1
currículum,{'Edito'},1
Gramaticalidad,{'Gramatical'},1
sandwich,{'Puntualidad'},1
Panhispanismo,{'Pan hispanismo'},1
Borrelia,{'Micro estructura'},1
extracelular,{'extra celular'},1
Zipf,{'Amoniaco'},1
V,{'A'},1
System,{'LISO'},2
Sismometría,{'Isotopos'},1
Tablatura,{'Tabla tura'},1
Chavín,{'En'},1
alpha-bearing,{'alpaca-bearing'},1
Concerti,{'Concertó'},1
mazahuas,{'humazas'},1
Kali,{'Ali'},1
Comunalismo,{'Comunismo'},2
Euténica,{'cartográfica'},1
Hidrogeología,{'Helamiento-Jacobi'},1
IBM,{'De forestación'},6
Neutrones,{'Neutros'},1
Matlatzincas,{'Órbita'},1
transexuales,{'Magreares'},1
Abused,{'Abusan'},1
Interlenguaje,{'transaccionales'},1
Dólmenes,{'hidrosilicatos'},1
Descontaminación,{'Des contaminación'},1
Lingo,{'Ringo'},1
Fractales,{'Frac tales'},1
Kathakali,{'Kathakali'},2
francófona,{'Tabla tura'},1
Emirato,{'Emir ato'},1
Hurritas,{'Churritas'},1
jesuíta,{'radioactivos'},1
Hawái,{'Harbo'},2
Plasmásfera,{'Anfibolitas'},1
pubs,{'pus'},1
batimétricos,{'barométricos'},1
Bahia,{'Bahía'},1
Autoconciencia,{'Auto conciencia'},1
Xichú,{'Osé'},1
Fibroides,{'Esferoides'},1
Indexación,{'Historio grafía'},1
Multiprocesadores,{'Multiplicadores'},1
Epoca,{'Época'},1
Camacho,{'Amacho'},1
Xeriscaping,{'jurisprudente'},1
Daimio,{'Cagan'},1
Exobiología,{'Dentirrostros'},1
Echeverria,{'Día'},1
Ciberterrorismo,{'Monarquismo'},1
QuickBASIC,{'auto organización'},1
Mexicanoamericanos,{'Mexicano americanos'},1
Shaktismo,{'Rwanda'},1
Australasia,{'Australia'},1
Irrigación,{'Irritación'},1
Transnacionalismo,{'Tradicionalismo'},1
Chinampas,{'Amachinas'},1
Ruanda,{'Rwanda'},1
Postcolonialismo,{'Colonialismo'},2
Mahamudra,{'Insolentemente'},1
program,{'programa'},1
Alabama,{'Alabara'},1
geoespaciales,{'aeroespaciales'},1
Nyaya,{'Yaya'},1
scouts,{'Soy'},1
Mante,{'Ante'},4
Heavy,{'Vahares'},1
Ultraísmo,{'Tobago'},2
Aeronaútica,{'Aeronáutica'},1
Kenia,{'Nenia'},6
Ken,{'En'},1
Fan,{'San'},1
R,{'A'},1
neoclásica,{'neoplásica'},1
Ocotlán,{'Moruro'},1
Aerografía,{'Xerografía'},1
Huasteca,{'Secaste'},2
cicládico,{'Ero'},1
Mitomanía,{'Mito manía'},1
Arts,{'Tras'},1
Team,{'Tema'},1
Soya,{'Roya'},1
Alvars,{'Salvar'},1
Carotenos,{'Camaroteros'},1
Shikarpur,{'Preventiva'},1
Cianuración,{'Carburación'},1
Bibliotecología,{'Biotecnología'},1
Fernando,{'Frenando'},1
fitopatógenas,{'fito patógenas'},1
Akan,{'Kan'},1
coriolis,{'corolarios'},1
Microquímica,{'Micro química'},1
Osiris,{'Sirios'},1
Apple,{'Papel'},1
Utaawase,{'Ji tomates'},1
Origami,{'Hormiga'},1
huaves,{'huevas'},1
MS-DOS,{'NS-DOS'},1
cardiovasculares,{'gastrovasculares'},2
Khmers,{'Terminología'},1
Gestalt,{'Gestual'},2
Mitigación,{'mogolas'},3
Tay-Sachs,{'Ay-Sachs'},1
autopartes,{'auto partes'},1
Ergonomía,{'Altamisa'},1
Autoconocimiento,{'Auto conocimiento'},1
ainu,{'Harbo'},1
Pedofilia,{'Pedo filia'},2
ismaelitas,{'israelitas'},1
Monarquianismo,{'Monarquismo'},1
taí,{'tía'},1
Capoeira,{'Electrónica'},1
Storyboards,{'mono moleculares'},1
Cristología,{'Churritas'},1
Ainu,{'Agrave'},1
Aclimatación,{'Aclimatan'},2
Apofonía,{'Aponía'},1
Panarabismo,{'Pan arabismo'},1
Flavios,{'A'},1
Codicología,{'Psicología'},1
mazateca,{'maza teca'},1
jungiana,{'junciana'},2
urdu,{'urda'},2
Yaganes,{'Ya ganes'},1
Sijo,{'Rijo'},1
carnitina,{'Ay-Sachs'},1
Áfidos,{'Fidos'},1
Neoescolasticismo,{'Neo escolasticismo'},1
recompra,{'re compra'},1
Sumatra,{'Sumara'},1
Microbiólogos,{'Micro biólogos'},1
Dagaaba,{'Daga aba'},1
Polietileno,{'Macro moléculas'},1
Bogotá,{'Urde males'},1
sintoistas,{'sinfonistas'},1
Postapartheid,{'mexicano americanos'},1
Chontal,{'Hontanal'},1
Harbor,{'Harbo'},1
P,{'A'},1
Macao,{'Cacao'},1
Kawi,{'Militaristas'},1
Gerontología,{'Odontología'},1
Antropólogos,{'Época'},1
Microcomputadoras,{'Micro computadoras'},2
Tribus,{'Tribu'},2
transgénero,{'Frailes ca'},3
J,{'A'},2
Shisetsu,{'En'},1
Nuzi,{'Nazi'},1
DC,{'D'},2
Tojolabales,{'Tara humara'},1
Epazpyucan,{'Eloxochitlán'},1
transicional,{'transaccional'},1
Hijab,{'Hija'},1
Press,{'Presa'},1
Exito,{'Éxito'},1
Riemann,{'Neo paganismo'},1
Reconversión,{'Re conversión'},2
Emprendimiento,{'Prendimiento'},1
Higgs,{'Higas'},1
basho,{'baso'},1
Taiwanés,{'In fijos'},1
UNIMARC,{'Oligopólicos'},1
cheddar,{'Tufo'},1
Angkor,{'Gratina'},1
Convulsionarios,{'Convulsionar'},1
Minicomputadoras,{'Computadorizaras'},1
Jujuy,{'Julo'},1
Animacidad,{'Animalidad'},1
Farsalia,{'Falsaria'},2
termoestables,{'termo estables'},1
Multimedia,{'primea'},2
Ulúa,{'Entalingado'},1
Jainismo,{'Jacobinismo'},3
Miscelánea,{'unidimensional'},2
Seminoles,{'Seminales'},1
Fourier,{'Taquigrafía'},2
Mantras,{'Man tras'},1
Vow,{'Vos'},1
Inmunopatología,{'cedo'},1
Penjabí,{'oto míes'},1
Retazos,{'Retozas'},1
Negritud,{'Ministerialismo'},1
Cutter,{'Cinco grafía'},1
Paleozóico,{'Odontología'},1
caraterización,{'caracterización'},1
Pinnipedia,{'Rilo'},1
Calcificación,{'Calificación'},1
Spain,{'Astucias'},1
education,{'educativo'},1
Videograbaciones,{'Video grabaciones'},2
Batik,{'Batir'},1
Electrolitos,{'Electrolices'},1
Electrofóresis,{'Electroforesis'},1
Panqués,{'Parqués'},1
Sucre,{'Lucre'},1
antipsicóticas,{'anti psicóticas'},1
tamul,{'tamil'},1
popolucas,{'polacas'},1
archivística,{'daltonianos'},1
Citodiagnóstico,{'Cito diagnóstico'},3
Jews,{'socio lingüística'},1
caballerias,{'caballerías'},1
Chapultepec,{'Canadienses'},2
Conservacion,{'Mochilas'},1
Godzila,{'Golea'},1
capitación,{'captación'},1
Poseidón,{'Pedo filia'},1
Colecistectomia,{'pus'},1
Citoquímica,{'Cito química'},2
Asturias,{'Astucias'},2
relations,{'internacional'},1
Semiólogos,{'Rife ño'},1
Coautoría,{'Coautora'},1
Schuman,{'Humanan'},1
Koguryô,{'Permanencia'},1
Senoi,{'Seno'},1
inalámbrica,{'técnicos'},1
science,{'Politicastro'},1
Inhibidores,{'Inhibido res'},1
Exergia,{'iones'},1
Organo,{'Órgano'},2
Centroafricana,{'Centro africana'},2
MP3,{'Habilitación'},2
Histólogos,{'Hispano estadounidenses'},1
Amish,{'DAN'},1
Mescalina,{'Mesalina'},1
Exodo,{'Éxodo'},1
Presuposición,{'Pre suposición'},1
Intersexuales,{'Intersticiales'},1
Satán,{'Patán'},1
suevas,{'suaves'},1
Oscilógrafos,{'Osciló grafos'},1
Radioquímica,{'Radio química'},1
Methamphetamine,{'Anfetaminas'},1
Impermanencia,{'Permanencia'},1
coverage,{'Presa'},1
Nayar,{'Rayar'},1
Chicago,{'Chicano'},1
Vai,{'Va'},2
Exculpabilidad,{'Ex culpabilidad'},1
Jus,{'Rus'},1
Televidentes,{'Tele videntes'},1
Observation,{'Observatorio'},1
tlaxcaltecas,{'Amoniaco'},1
Machiguenga,{'anti nuclear'},1
Checheno,{'Cohechen'},1
Americans,{'Americana'},1
Climatólogos,{'Encrespamiento'},1
Oporto,{'Porto'},1
Observacion,{'Observación'},1
multicriterio,{'OC'},1
Hausa,{'Causa'},1
Huatulco,{'Xoxocotlán'},1
cicladica,{'claudica'},1
Autopercepción,{'Auto percepción'},1
Brazzaville,{'Comoros'},1
SPSS,{'Animalidad'},1
Yiddish,{'Yiddish'},1
Tepehuano,{'Traviesa'},1
Lahares,{'Vahares'},1
log-lineales,{'gol-lineales'},1
Chamanes,{'Chamasen'},1
Biomatemáticas,{'Matemáticas'},1
Spline,{'Micro propagación'},1
Transplantes,{'Trasplantes'},1
Socialización,{'Especialización'},3
LISP,{'LISO'},1
Biomecánica,{'Fotosíntesis'},1
Neuroplasticidad,{'Acribillada'},1
VHDL,{'organizarles'},1
Historiometría,{'etología'},1
Limnología,{'Climatología'},1
olmeca,{'olmeda'},3
Broncoscopía,{'entrever'},1
Malthusianismo,{'Maltusianismo'},1
eurobonos,{'euro bonos'},1
Biocomplejidad,{'extra bursátiles'},1
Nupcialidad,{'Senegal eses'},1
topológica,{'topo lógica'},1
radioaficionados,{'radio aficionados'},1
Latinoamericanistas,{'Latino americanistas'},1
nutricionales,{'tradicionales'},3
Morelos,{'Moleros'},5
OSPF,{'folclore'},1
Lebesgue,{'d Base'},1
Xicohténcatl,{'Xicohténcatl'},1
Pidgin,{'Habilitación'},1
Emily,{'liban eses'},1
Conodontos,{'Contentos'},1
Chupícuaro,{'Mitología'},1
Orinoco,{'Orino'},1
Cerritos,{'Perritos'},1
Linguística,{'agregativas'},1
Zacatecas,{'Aztecas'},2
ultrasónico,{'topo lógica'},1
Glucómica,{'pegas'},1
Amate,{'Mate'},1
Asimetría,{'Simetría'},1
conurbadas,{'conturbadas'},1
Bibliometría,{'ro cocó'},1
Ombudsman,{'Landres'},1
Tepehuanos,{'pos-exilio'},1
Mazateco,{'Mazacote'},1
Ontología,{'Antología'},1
Huasca,{'Huaca'},1
Antropometría,{'Entrometería'},2
Wirikuta,{'Wirikuta'},1
Bandeiras,{'Banderas'},1
III,{'d Base'},1
pictográfica,{'cartográfica'},1
Acadienses,{'Canadienses'},1
Mariachi,{'Marimacho'},2
Atenas,{'Tenas'},2
Ecohidrología,{'re unificación'},1
Fuji,{'Fiji'},1
hiperactivos,{'hiperactividad'},1
Edo,{'Do'},1
Endocrinología,{'Endocrinóloga'},2
Metaloproteinasas,{'Metalista'},1
Benelux,{'Re conversión'},1
biomédicos,{'Área'},1
Inclusividad,{'Animalidad'},1
Madrid,{'Madrina'},1
psicosexuales,{'Erasmiano'},1
Florencia,{'XVII'},1
Sadomasoquismo,{'Ósmosis'},1
Lematización,{'Automatización'},1
Chichén,{'Chinché'},1
Microcontaminantes,{'Micro contaminantes'},1
Berlín,{'Necrología'},4
Guadalajara,{'Guadalajareña'},1
Trusts,{'Terminología'},1
Canella,{'Camella'},1
Sociobiología,{'Socio biología'},1
Hidrostática,{'Hidrosilicato'},1
Services,{'Cervices'},1
Rembarrnga,{'Embarraren'},1
Manuel,{'Manuela'},2
sh-95003390,{'ah-95003390'},1
Sedimentología,{'Útero'},1
otomangues,{'oto mangues'},1
NT,{'NA'},1
Lowriders,{'hidrosilicatos'},1
Pisaflores,{'Picaflores'},1
Danubio,{'Da nubio'},1
Musicoterapia,{'Psicoterapia'},1
Popoloca,{'Popo loca'},1
Ducumentales,{'Documentales'},1
Amenorrea,{'Amenorare'},2
Lizardo,{'Anón'},1
Microscopía,{'psicoterapias'},5
Subempleo,{'Senegal eses'},1
Suteos,{'Porto'},1
Oftalmología,{'cañar'},2
Coronelismo,{'Rebla'},1
international,{'internacional'},1
Works,{'NS-DOS'},1
monopolística,{'monopolista'},1
Peronismo,{'Pirronismo'},1
Yao,{'Nao'},1
Jerécuaro,{'Chispas'},1
Mau,{'Man'},2
Heurística,{'Eucarística'},1
Sauropterygia,{'Acoderamos'},1
cristera,{'crismera'},2
Islamic,{'Islamice'},1
Desertificación,{'Certificación'},1
corioamnióticas,{'extra celular'},1
Malikitas,{'Malditas'},1
Autorealización,{'Auto realización'},1
Brucelosis,{'Malle'},1
Culloden,{'Cuídenlo'},1
postclásico,{'Gramatical'},1
n,{'na'},1
Neoconfucianismo,{'Neo confucianismo'},1
rococó,{'ro cocó'},5
tutoría,{'tutora'},2
SQL,{'SAL'},2
multicultural,{'fruticultura'},1
Talk,{'Tal'},1
Biobibliografías,{'Bibliográficas'},1
Luria-Nebraska,{'Curia-Nebraska'},1
Parulas,{'Parlas'},1
Esteroides,{'Asteroides'},2
Cibernética,{'CD'},1
cañarí,{'cañar'},1
termoluminiscencia,{'termo luminiscencia'},1
Yi,{'Ni'},1
Prácticums,{'Macro moléculas'},1
Telemercadeo,{'Tele mercadeo'},1
Birmania,{'Birmana'},3
Microhongos,{'Micro hongos'},1
Hermosillo,{'Alota'},1
catequísticos,{'Roché'},1
xilográficos,{'estilográficos'},1
Radioastronomía,{'Radio astronomía'},1
Nativismo,{'Activismo'},2
interseccción,{'intersección'},1
Visaya,{'Bisaya'},1
micénica,{'Braman'},1
Bibliógrafos,{'Biógrafos'},2
Ismailitas,{'Militaristas'},1
Zapotecas,{'Zapo tecas'},1
Chiísmo,{'Magreares'},1
Chac,{'Chad'},1
Petroquímicos,{'Petroleoquímicos'},1
Bluetooth,{'Bluetooth'},1
Baby,{'Baba'},1
Ixcateco,{'petunias'},1
glucogénica,{'Visco elasticidad'},1
Zinacatepec,{'Xoxocotlán'},1
Tojolabal,{'transaccional'},1
Minirrizotrones,{'In fertilidad'},1
indoarias,{'indo arias'},1
Brousesismo,{'Madhyamaka'},1
Mohawk,{'Americana'},2
browniano,{'diferenciales'},1
Jocotán,{'asirio babilónica'},1
multiparadigmática,{'Genealogistas'},2
chimñ,{'pegas'},1
aúreo,{'áureo'},1
Geofísico,{'Fotosíntesis'},1
an,{'na'},1
Islamofobia,{'Mesoamericanos'},1
Trofoblasto,{'Bluetooth'},1
Catarina,{'Catalina'},2
Sambia,{'Cambia'},1
Termoquímica,{'Termo química'},1
Kairiru,{'A'},1
PERT,{'PERA'},1
Proteoglicanos,{'Droga dicción'},1
geoquímica,{'motivación'},1
Geógrafos,{'Mimeógrafos'},1
Egiptología,{'Permanecer'},1
Vetiver,{'neutros'},1
Chibchas,{'Chinchas'},1
Totec,{'Pipe'},2
Velocimetría,{'Acoderamos'},1
Apinayé,{'Ukiyoe'},1
Retrovirus,{'mecanográficos'},1
doppler,{'Carbonosa'},1
Seri,{'Sri'},1
Fitogeografía,{'Fito geografía'},1
Encriptamiento,{'Encrespamiento'},1
Acaros,{'Ácaros'},2
Estimulación,{'Estipulación'},2
globalización,{'localización'},10
Autlán,{'fullerescos'},1
Microenseñanza,{'Micro enseñanza'},1
Varsovia,{'Varsoviana'},1
Otomíes,{'Oto míes'},1
Katrina,{'Ka trina'},1
Ocampo,{'Campo'},2
Cakchiquel,{'aterosclerosis'},1
Habitat,{'Hábitat'},1
Samkhya,{'Pirronismo'},1
Xalapa,{'Jalapa'},1
Autocrítica,{'Auto crítica'},1
Visceras,{'Vísceras'},1
Parnasianismo,{'Parnasiano'},1
H1N1,{'H1N1'},1
Montessori,{'Jacobinismo'},1
Surui,{'Punamos'},1
Xólotl,{'Mitlancihuátl'},2
Acolman,{'Colman'},1
Cahita,{'Chita'},1
Sebastianismo,{'Sebastiano'},2
Porsche,{'Porche'},1
Svástica,{'Intervencionismo'},1
Discrecionalidad,{'Discrecional'},1
Citofotometría,{'cerebro vascular'},1
Hormonoterapia,{'Mecanoterapia'},1
Rastafari,{'Rifarrafa'},1
Geoglifos,{'Democratizan'},1
Tehuantepec,{'Nuez'},2
IP,{'PI'},1
creek,{'cree'},1
Expatriación,{'Expatrian'},1
Normatividad,{'Normalidad'},1
premoldeado,{'pre moldeado'},1
Refabricación,{'Re fabricación'},1
Catalogación,{'Beduinas'},34
Lacandona,{'Acanalador'},1
Homosexuality,{'isotérmicos'},1
Gametofitos,{'Gameto fitos'},1
Españita,{'Espita'},1
Facilitación,{'Habilitación'},1
distrital,{'alabastrita'},1
Quebec,{'neo gótica'},1
Neurofisiología,{'conducto'},1
otomí,{'oto mí'},1
estrogénico,{'estro génico'},1
Onomasiología,{'Ataco'},1
Americanismos,{'Panamericanismos'},2
Papalotla,{'Papalote'},1
numismática,{'carismática'},1
Preventive,{'Preventiva'},1
Hiperespacio,{'Ciberespacio'},1
lisérgico,{'Absentismo'},1
multidimensional,{'unidimensional'},1
Contracomercio,{'Contra comercio'},1
creole,{'creo le'},1
Suez,{'Nuez'},1
Subcontratación,{'Contratación'},1
bandoneón,{'bando neón'},1
Curdistán,{'Entrometería'},1
enforcement,{'conformemente'},1
rayos-X,{'rayos-A'},1
Tejupilco,{'Tumba'},1
Xochimilco,{'Porfirizo'},2
Gutiérrez,{'Tapa chula'},1
Nutka,{'Biografía'},1
tzotziles,{'asirio babilónica'},1
Monroe,{'Pictograma'},1
Semiótica,{'Lingüística'},4
Bonsai,{'Toé'},1
padrasto,{'padrastro'},1
Charros,{'Chorras'},1
Duopolios,{'Autor regresión'},1
sh,{'ah'},5
Autorrealización,{'Autor realización'},1
Interconexiones,{'Interjecciones'},2
Banach,{'Achabacana'},2
Antioquia,{'Acalla'},1
psicosexual,{'Chamasen'},1
Watergate,{'Bala'},1
adena,{'adema'},1
Entropía,{'Entro pía'},3
Cataluña,{'Catalufa'},2
Drones,{'Rones'},1
Morfogénesis,{'Morfo génesis'},2
Tejocote,{'Tejo cote'},1
Hispanoamérica,{'Hispano américa'},1
Pictografía,{'Pictograma'},1
Ocoyoacac,{'Moruro'},1
Viscoelasticidad,{'Visco elasticidad'},1
Ramsey,{'Casticismo'},2
antiabsorción,{'anti absorción'},1
Prolog,{'Prologa'},1
Rhodes,{'Canadienses'},1
fullerenos,{'fullerescos'},1
PL,{'PAL'},1
Gurús,{'Guras'},1
Dien,{'Sien'},1
Escarificación,{'Especificación'},1
espagírica,{'Acanalador'},1
Trituración,{'Aculturación'},1
microclimatology,{'Foresta'},1
etc,{'et'},41
Tepito,{'Repito'},1
Polifenoles,{'contracultura'},1
Benguela,{'Blandengue'},1
Aztlán,{'Varsoviana'},1
latianoamericano,{'latinoamericano'},1
Macromoléculas,{'Macro moléculas'},1
Dactiloscopía,{'Amenorare'},1
Catilina,{'Catalina'},1
Arabe,{'Árabe'},7
Bhil,{'Secularizo'},1
Biolingüística,{'Lingüística'},1
Supranacionalismo,{'Supranacional'},1
Eros,{'Ros'},2
Zanzíbar,{'Bardanza'},2
Gastroenterología,{'corolarios'},1
yolngu,{'secularizo'},1
XIV,{'Rwanda'},2
Rif,{'Rifa'},1
Monasticismo,{'Casticismo'},1
Tzeltal,{'Tarara'},1
Osun,{'Osuna'},1
Ming,{'Minga'},2
Yuriria,{'Osé'},1
Atotonilco,{'Campo'},2
Lotus,{'Lutos'},1
Drávidas,{'Grávidas'},1
Zonificación,{'Saponificación'},2
booleana,{'Toé'},1
Nicolás,{'Tintan'},2
Taekwan,{'emigrantes'},1
Cronometría,{'Cronometra'},1
Chinoamericanos,{'Chino americanos'},1
radiocarbono,{'radio carbono'},1
Geomorfología,{'Endocrinóloga'},1
Mateos,{'Ateos'},1
ayurvédica,{'Oros'},1
Entremes,{'Entremés'},1
Art,{'Ar'},4
Ponce,{'Once'},1
Matlatzinca,{'Órbita'},1
estuarinos,{'estuarios'},1
cibernéticos,{'comunicacionales'},1
peace,{'pace'},1
Fé,{'Sé'},2
Auditorías,{'Auditorias'},1
Loltún,{'Sanchecia'},1
Prion,{'Pion'},2
Antiamericanismo,{'Panamericanismo'},1
Sexología,{'Anales'},1
esteroides,{'asteroides'},1
electronicas,{'Tele videntes'},2
Postismo,{'Positivismo'},1
Glifografía,{'Litofotografía'},2
Christi,{'Rebla'},1
Amuesha,{'Rimara'},1
Sabateístas,{'Asambleístas'},1
Aden,{'Den'},1
psicodinámica,{'pos-traslación'},2
Orchestra,{'Escorchara'},1
tereftalato,{'Macro moléculas'},1
Ginecología,{'Gin ecología'},3
Nostrático,{'anti monopolio'},1
Tíbet,{'Siena'},2
Microbiología,{'Micro biología'},5
Planificadores,{'Planifica dores'},3
Travestis,{'Travistes'},1
Verilog,{'uses'},1
Camarógrafos,{'Cartógrafos'},1
sociolingüística,{'socio lingüística'},1
post-exilio,{'pos-exilio'},1
Ninfomanía,{'Ninfo manía'},1
Empatía,{'Empata'},1
Lacandones,{'Acanelados'},1
Acrónimos,{'Anacrónicos'},1
Calpan,{'Palpan'},1
libanesa,{'liban esa'},1
Prolactina,{'jerarquizan'},1
Transcaucasia,{'Repatrian'},1
presupuestal,{'presupuesta'},1
Ribosomas,{'Rimbombas'},1
Huehuetenango,{'Chapalea'},3
goma,{'gamo'},2
Amortiguación,{'Amortización'},1
Sijismo,{'primea'},1
Baal,{'Bala'},1
Holbox,{'Neo liberalismo'},1
Legislators,{'Legislaturas'},1
Carabobo,{'Car abobo'},1
Etica,{'Ética'},37
Algebra,{'Álgebra'},9
Reunificación,{'Re unificación'},1
Wikis,{'Treo'},1
sinóptica,{'sinópica'},1
extraescolares,{'extra escolares'},1
Meoqui,{'Meo qui'},1
Punjab,{'Punjan'},1
Metadatos,{'Meta datos'},1
Tai,{'Tau'},1
dietilamida,{'Absentismo'},1
Optometría,{'Porche'},1
Philosophy,{'Baba'},1
Atomos,{'Átomos'},1
sumeria,{'sumiera'},4
Zeolitas,{'euro bonos'},1
dell,{'del'},1
Comoras,{'Comoros'},2
Tzotzil,{'Tzotzil'},1
Chumash,{'Amoniaco'},1
Grafémica,{'Soga'},1
Paratexto,{'Para texto'},1
neurodesarrollo,{'desarrollo'},2
Bacteriólogos,{'Bacteriófagos'},1
faltantes,{'faltan tes'},1
aísmo,{'aíslo'},1
Dunkerque,{'Dunkirki'},1
Péptidos,{'Cronómetros'},2
Labanotación,{'oto mangues'},1
Tarawa,{'Tarara'},1
Micólogos,{'Mitólogos'},1
Paleoecología,{'Paleo ecología'},1
Garawa,{'Garrara'},1
Texas,{'Tecas'},2
Cartago,{'Cuartago'},1
Hipoclorinadores,{'Hipoclorhidrias'},1
literaura,{'literatura'},2
inalámbricas,{'Pisan'},2
Tamaulipas,{'Tampoco'},5
Arabe-Israelí,{'Árabe-Israelí'},1
Biónica,{'Babilónica'},1
Ecofeminismo,{'Eco feminismo'},2
electroquímico,{'electro químico'},1
Monadología,{'Demonología'},1
Panamint,{'Tecas'},1
epidemiológica,{'paremiológica'},1
Interconexión,{'documentarlo'},1
Unipolaridad,{'Permanecer'},1
XBRL,{'pegas'},1
Krishna,{'Ali'},2
frástica,{'drástica'},2
Radiobiología,{'Radio biología'},1
Geeks,{'aula'},1
Autoevaluación,{'Auto evaluación'},1
Anosov,{'intersección'},1
Anabolizantes,{'Saborizantes'},1
Prebióticos,{'Lumbo sacro'},1
Ecoturismo,{'Eco turismo'},1
Angeles,{'Ángeles'},5
Caos,{'Naos'},1
priori,{'prior'},1
Bioterrorismo,{'Terrorismo'},1
retícular,{'reticular'},1
hamiltonianos,{'daltonianos'},1
Carlos,{'Darlos'},1
Moldova,{'Moldavo'},1
psicomotores,{'ciclomotores'},1
server,{'servar'},1
Asquenazís,{'Mira flores'},1
Zoque,{'Oque'},1
Ausentismo,{'Absentismo'},1
Comunicacion,{'nen'},1
XVII,{'XVII'},10
Graphics,{'Havar'},1
universalista,{'universa lista'},1
Behaviorism,{'Anti héroes'},1
Ecólogos,{'Ginecólogos'},1
Zoogeografía,{'Zoo geografía'},1
Bioenergética,{'Energética'},1
computacional,{'Ángel'},4
Scouts,{'Gil'},1
Nefrotoxicología,{'cree'},1
Panjab,{'Taraba'},1
Ebla,{'Rebla'},1
extrabursátiles,{'extra bursátiles'},1
I,{'A'},2
Diapiros,{'Diaspros'},1
Etólogos,{'Teólogos'},1
Tiristores,{'Resistores'},1
Paleoindios,{'Paleo indios'},1
Macroevolución,{'Macro evolución'},1
Ranqueles,{'Franquearles'},1
Inmunohistoquímica,{'Habilitación'},1
Heisman,{'Osciló grafos'},1
Zuni,{'Causa'},2
Pawnee,{'Ex culpabilidad'},1
Dopamina,{'Dopa mina'},2
Etnicidad,{'Élite'},2
Micromorfología,{'Micro morfología'},1
Frailesca,{'Frailes ca'},1
popolocas,{'popo locas'},2
zapatista,{'zapatiesta'},1
autoorganización,{'auto organización'},1
Laptop,{'Polisacáridos'},2
Sakti,{'Rwanda'},1
neuropsicológica,{'neurológica'},1
Contrarreforma,{'Contrarrestara'},1
Probits,{'Pro bits'},1
glucosidasa,{'Inhibido res'},1
Hiperandrogenismo,{'Radio isotopos'},1
Influenza,{'Compostelana'},1
organizacionales,{'organizarles'},1
caracterológicas,{'bacteriológicas'},1
Señalización,{'Especialización'},1
Teletransportación,{'Tele transportación'},1
WordPerfect,{'Micro química'},1
Righteous,{'devocionarios'},1
Charivari,{'Archivar'},1
Apizaco,{'Espita'},1
biotecnológicas,{'tecnológicas'},1
Epicúreos,{'Auto construcción'},1
taoista,{'taxista'},1
Policentricidad,{'neutros'},1
Postcomunismo,{'nutricio'},1
